,Company,Product,Size,Currency,Prices
0,Goody ,Whole Kernel Golden Corn,340G,SAR,3.25
1,Goody ,Original Mayonnaise,332 Ml,SAR,7.75
2,Goody ,Ranch Dressing,237 Ml,SAR,7.95
3,Halwani Brothers ,AlNakhla Finest Halawa Plain,250G,SAR,9.4
4,7 UP ,Can,150 Ml,SAR,1.5
5,Goody ,Tenderina Sandwich Tuna,80G,SAR,3.5
6,Afia ,Sunflower Oil,1.8L,SAR,19.9
7,Afia ,Pure Corn Oil,750 Ml,SAR,10.95
8,7 UP ,Bottle,1L,SAR,5.0
9,Al Alali ,100% Natural Tomato Paste,8 x 130G,SAR,9.75
10,Afia ,Corn Oil,200Ml,SAR,18.5
11,Galaxy ,Jewels Chocolate,200G,SAR,22.95
12,Afia ,Extra Virgin Olive Oil,250 Ml,SAR,13.5
13,Al Arabi ,Pure Vegetable Frying Oil,1.8L,SAR,15.25
14,Godiva ,Milk Chocolate Hazelnut Oyster,30G,SAR,3.95
15,Goody ,Albacore white meat Tuna in Sunflower Oil,185G,SAR,7.25
16,Goody ,Chunky Peanut Butter,340G,SAR,11.25
17,Goody ,Light Meat Tuna in Sunflower Oil,185G,SAR,7.5
18,Goody ,Lite Mayonnaise,332 Ml,SAR,7.75
19,Goody ,Creamy Peanut Butter,340G,SAR,10.95
20,Kellogg's ,Corn Flakes,500G,SAR,15.95
21,Goody ,Natural White Vinegar,473 Ml,SAR,2.95
22,Kellogg's ,The Original Corn Flakes,250G,SAR,9.7
23,Kellogg's ,Special K Original Wheat Cereal,375G,SAR,22.55
24,Kikkoman ,Soy Sauce,150 Ml,SAR,10.45
25,Kinder ,Chocolate,50G,SAR,2.55
26,Kettle ,Cooked Potato Chips With French Cheese,170G,SAR,7.1
27,Kettle ,Cooked Potato Chips With flaming chilli,170G,SAR,7.1
28,Kettle ,Cooked Potato Chips With Arabic Spice,170G,SAR,7.1
29,Kettle ,Cooked Potato Chips With Sea Salt,170G,SAR,7.1
30,Kettle ,Cooked Potato Chips With Honey & Bbq,170G,SAR,7.1
31,Lays ,Max Mexican Chili Flavor Potato chips,50G,SAR,2.0
32,Lays ,Tomato Ketchup Potato chips,21G,SAR,1.05
33,Lays ,Salt & Vinegar Potato chips,21G,SAR,1.05
34,Lays ,French Cheese Potato chips,21G,SAR,1.05
35,Lays ,Max Creamy Chedder Flavor Potato chips,50G,SAR,2.0
36,Lays ,Salt Potato chips,54G,SAR,2.0
37,Lindt ,Excellence Dark Chocolate 70% Cocoa,100G,SAR,15.7
38,Lindt ,Excellence Dark Chocolate 85% Cocoa,100G,SAR,15.95
39,Lindt ,Excellence Dark Chocolate With Orange Intense,100G,SAR,15.7
40,Libby's ,Tomato Ketchup Squeezy Bottle,350G,SAR,8.5
41,Lindt ,Excellence Dark Chocolate Mild 70% Cocoa,100G,SAR,15.95
42,Lindt ,Excellence Dark Chocolate With Mint Intense,100G,SAR,15.95
43,Lindt ,Excellence Dark Chocolate With Cherry Intense,100G,SAR,15.7
44,Lindt ,Excellence Chocolate With Black Currant,100G,SAR,15.7
45,Klast ,Spearmint Sugar Free Gum,12 pieces,SAR,3.4
46,Kinder ,Joy Surprise For Girls,20G,SAR,3.75
47,Kinder ,Joy With Surprise For Girls,20G,SAR,3.75
48,KitKat ,Chunky Mini Milk Chocolate Bar Snack Bag,16 Minis,SAR,17.05
49,Kuwait Bakeries ,All Purpose Flour,1Kg,SAR,3.95
50,Langnese ,Bee Honey,500G,SAR,38.85
51,Kohinoor ,Indian Basmati Rice,5Kg,SAR,68.5
52,Lays ,Classic Potato Chips Regular,6.5Z,SAR,16.95
53,Heinz ,Beanz Original Baked Beans In a Deliciously Tomato Sauce,200G,SAR,3.95
54,Lays ,Chili Potato chips,21G,SAR,1.05
55,Holsten ,Classic Malt Beverage Can,330 Ml,SAR,4.5
56,Heinz ,Tomato Ketchup,910G,SAR,10.0
57,Hershey's ,Chocolate Syrup,680G,SAR,10.95
58,Nescafe ,Arabiana Mix Arabic Coffee,3G,SAR,1.75
59,Nestlé ,Coffee-Mate Original Coffee Creamer,170G,SAR,8.95
60,Nescafe ,Red Mug Instant Coffee,50G,SAR,11.5
61,Nescafe ,Classic Instant Coffee,200G,SAR,16.75
62,Nescafe ,3 In 1 Classic Instant Coffee,20G,SAR,1.6
63,Lindt ,Lindor Hazelnut Milk Chocolate,100G,SAR,12.5
64,Nestlé ,Country Corn Flakes Breakfast Cereal,375G,SAR,12.25
65,Lindt ,Excellence Milk Chocolate Extra Creamy,100G,SAR,15.7
66,Nestlé ,Fitness Original Breakfast Cereal,40G,SAR,3.15
67,Loacker ,Quadratini Chocolate Wafers,125G,SAR,10.95
68,Lindt ,Lindor Milk Chocolate Sticks,38G,SAR,4.45
69,Loacker ,Gran Pasticceria Coconut,100G,SAR,9.5
70,Lipton ,Yallow Label Black Tea,100 Teabags x 2G,SAR,9.95
71,Lindt ,Swiss Classic Dark Chocolate,100G,SAR,13.85
72,Lindt ,Les Grandes Milk Chocolate With Hazelnut,150G,SAR,20.25
73,Nestlé ,Fitness Honey & Almond Breakfast Cereal,355G,SAR,21.95
74,Loacker ,Gardena Fingers Chocolate Wafer,38G,SAR,3.95
75,Loacker ,Gardena Fingers Chocolate Wafer With Coconut,38G,SAR,3.95
76,Loacker ,Gran Pasticceria Creme Noisette,100G,SAR,9.5
77,M&M ,Chocolate,180G,SAR,8.75
78,Loacker ,Gran Pasticceria Dark Hazelnut,100G,SAR,9.5
79,Maggi ,Excellence Mushroom Soup,51G,SAR,4.5
80,Mars ,Chocolate Bar,51G,SAR,2.95
81,M&M ,Peanut Chocolate,100G,SAR,11.25
82,Maggi ,Chicken Stocks Cubes,20G,SAR,0.8
83,Maltesers ,Milk Chocolate,37G,SAR,3.15
84,Mirinda ,Citrus,1L,SAR,5.0
85,Mazola ,Corn Oil,1.8L,SAR,19.7
86,Mirinda ,Orange,330 Ml,SAR,2.5
87,Minis ,Mixed Chocolates,500G,SAR,32.95
88,Mazola ,Sunflower Oil,2x1.8L,SAR,18.95
89,Mountain Dew ,Bottle,330 Ml,SAR,2.5
90,Mcvitie's ,Digestive Biscuits Covered with Milk Chocolate,300G,SAR,11.95
91,Moussy ,Classic Malt Beverage Can,330 Ml,SAR,4.95
92,Nadec ,Long Life Full Fat Milk,12 x 1L,SAR,34.5
93,Nadec ,Organic Extra Virgin First Extraction Olive Oil,250 Ml,SAR,12.6
94,Nadec ,Long life Low Fat Milk,12 × 1L,SAR,34.5
95,Punjabi Al Muhaidib ,Brown Basmati Rice,2Kg,SAR,23.95
96,Perrier ,Water,330 Ml,SAR,5.25
97,Rainbow ,Original Evaporated Quality Milk,170G,SAR,2.5
98,Premium Harvest ,Dehydrated Baby Pineapple,200G,SAR,23.9
99,Premium Harvest ,Dehydrated Mango,200G,SAR,23.9
100,Rauch ,Apple Nectar Juice,250 Ml,SAR,5.0
101,Rio Mare ,Light Meat Tuna In Olive Oil,80G,SAR,6.85
102,Rahma ,Extra Virgin Olive Oil,250 Ml Free + 750 Ml,SAR,19.95
103,Nova ,Drinking Water Glass Bottle,0.55 Ml,SAR,1.0
104,Nutella ,Hazelnut Spread With Cocoa,200G,SAR,12.25
105,Noor ,Sunflower Oil,1.8L + 750 ml,SAR,17.5
106,Orient Gardens ,Pomegranate Molasses,250G,SAR,9.0
107,Pepsi ,Bottle,150 Ml,SAR,1.5
108,Pepsi ,Diet Bottle,250 Ml,SAR,2.5
109,Nestlé ,Nesquik Chocolate Breakfast Cereal,375G,SAR,18.95
110,Nestlé ,Nesquik Chocolate Powder Pouch,14.3G,SAR,1.6
111,Nestlé ,Lion Chocolate Bar,42G,SAR,2.05
112,Nestlé ,Nido Fortified Full Cream Milk Powder,400G,SAR,24.95
113,Nestlé ,Pure Life Water,330 Ml,SAR,0.5
114,Nestlé ,Sweetened Condensed Milk,90G,SAR,3.7
115,Yamama ,Grenadine Molasses,300 Ml,SAR,12.95
116,Rio Mare ,Salatuna Mexico Recipe,160G,SAR,13.95
117,Rio Mare ,Salatuna Beans,160G,SAR,26.95
118,Rio Mare ,Salatuna Couscous And Tuna,160G,SAR,28.3
119,Rio Mare ,Salatuna Maize Recipe,160G,SAR,13.95
120,Ruffles ,Potato Chips Regular,6.5Z,SAR,14.95
